Round,Pick Number,Current Team,Original Team,Year
1,1,Titans,Titans,2025
1,2,Browns,Browns,2025
1,3,Giants,Giants,2025
1,4,Patriots,Patriots,2025
1,5,Jaguars,Jaguars,2025
1,6,Raiders,Raiders,2025
1,7,Jets,Jets,2025
1,8,Panthers,Panthers,2025
1,9,Saints,Saints,2025
1,10,Bears,Bears,2025
1,11,49ers,49ers,2025
1,12,Cowboys,Cowboys,2025
1,13,Dolphins,Dolphins,2025
1,14,Colts,Colts,2025
1,15,Falcons,Falcons,2025
1,16,Cardinals,Cardinals,2025
1,17,Bengals,Bengals,2025
1,18,Seahawks,Seahawks,2025
1,19,Buccaneers,Buccaneers,2025
1,20,Broncos,Broncos,2025
1,21,Steelers,Steelers,2025
1,22,Chargers,Chargers,2025
1,23,Packers,Packers,2025
1,24,Vikings,Vikings,2025
1,25,Texans,Texans,2025
1,26,Rams,Rams,2025
1,27,Ravens,Ravens,2025
1,28,Lions,Lions,2025
1,29,Commanders,Commanders,2025
1,30,Bills,Bills,2025
1,31,Chiefs,Chiefs,2025
1,32,Eagles,Eagles,2025
2,33,Browns,Browns,2025
2,34,Giants,Giants,2025
2,35,Titans,Titans,2025
2,36,Jaguars,Jaguars,2025
2,37,Raiders,Raiders,2025
2,38,Patriots,Patriots,2025
2,39,Bears,Panthers,2025
2,40,Saints,Saints,2025
2,41,Bears,Bears,2025
2,42,Jets,Jets,2025
2,43,49ers,49ers,2025
2,44,Cowboys,Cowboys,2025
2,45,Colts,Colts,2025
2,46,Falcons,Falcons,2025
2,47,Cardinals,Cardinals,2025
2,48,Dolphins,Dolphins,2025
2,49,Bengals,Bengals,2025
2,50,Seahawks,Seahawks,2025
2,51,Broncos,Broncos,2025
2,52,Seahawks,Steelers,2025
2,53,Buccaneers,Buccaneers,2025
2,54,Packers,Packers,2025
2,55,Chargers,Chargers,2025
2,56,Bills,Vikings,2025
2,57,Panthers,Rams,2025
2,58,Texans,Texans,2025
2,59,Ravens,Ravens,2025
2,60,Lions,Lions,2025
2,61,Commanders,Commanders,2025
2,62,Bills,Bills,2025
2,63,Chiefs,Chiefs,2025
2,64,Eagles,Eagles,2025
3,65,Giants,Giants,2025
3,66,Chiefs,Titans,2025
3,67,Browns,Browns,2025
3,68,Raiders,Raiders,2025
3,69,Patriots,Patriots,2025
3,70,Jaguars,Jaguars,2025
3,71,Saints,Saints,2025
3,72,Bears,Bears,2025
3,73,Jets,Jets,2025
3,74,Panthers,Panthers,2025
3,75,49ers,49ers,2025
3,76,Cowboys,Cowboys,2025
3,77,Patriots,Falcons,2025
3,78,Cardinals,Cardinals,2025
3,79,Texans,Dolphins,2025
3,80,Colts,Colts,2025
