Name,QB,RB,WR,TE,OT,IOL,DE,DT,LB,CB,S,K,P
Cardinals,3,5,7,3,6,7,7,9,6,9,5
49ers,4,5,5,3,9,7,10,9,7,8,6
Seahawks,6,3,8,8,6,10,6,6,5,7,8
Rams,6,3,7,8,7,6,5,4,7,9,6
Falcons,3,2,6,5,6,7,10,8,6,9,9
Saints,10,6,8,5,8,9,10,7,5,8,5
Panthers,5,5,10,6,6,5,10,8,6,9,7
Buccaneers,4,2,5,4,4,6,9,7,10,8,6
Bears,2,9,6,7,8,5,8,8,4,5,7
Lions,4,2,7,3,4,8,10,7,4,7,3
Packers,3,2,9,2,7,5,8,6,3,9,3
Vikings,5,4,5,3,6,9,4,7,4,9,7
Cowboys,3,9,10,5,6,7,7,9,6,7,5
Eagles,2,2,6,7,4,7,6,7,7,7,8
Commanders,2,5,8,4,7,8,10,4,5,8,8
Giants,9,6,8,4,7,8,7,8,4,7,4
Bills,2,3,7,3,4,6,8,8,4,9,7
Dolphins,6,2,4,6,6,9,5,10,5,10,8
Jets,8,2,10,9,9,6,6,8,5,9,8
Patriots,2,7,10,5,10,7,8,4,5,5,6
Colts,4,5,3,10,5,8,8,5,7,5,7
Jaguars,3,7,8,4,7,7,5,9,4,8,8
Texans,2,5,9,5,8,10,4,8,6,4,5
Titans,10,5,10,8,6,6,9,5,8,5,8
Chiefs,2,6,6,6,10,5,7,9,4,9,6
Broncos,3,10,9,7,5,5,4,8,4,6,7
Chargers,2,8,10,8,3,7,8,9,4,8,6
Raiders,6,10,9,2,7,7,6,5,6,10,8
Ravens,2,3,7,4,5,7,8,6,4,8,9
Steelers,9,7,7,5,7,5,5,8,4,9,6
Browns,10,9,9,8,7,6,5,8,7,6,6
Bengals,2,5,4,6,5,9,9,10,7,9,8
